Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Is there legislation that specifically addresses sexual harassment?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Can a married woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can an unmarried woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can a married woman legally confer her citizenship to a non-national spouse in the same way as a married man?,Legal Bases,Do married couples jointly share legal responsibility for financially maintaining the family’s expenses?,Legal Bases,Does a woman’s testimony carry the same evidentiary weight in court as a man's in all types of cases?,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2019,"Bahamas, The",BHS,Latin America & Caribbean,High income,18,"Marriage Act, Sec. 20(1)",Yes,"Marriage Act, Sec. 20(2) and 50",Yes,"Marriage Act, Sec. 50",Yes,"Penal Code, Sec. 485",Yes,"Sexual Offences Act, Sec. 26",No,No applicable provisions could be located,Yes,"Domestic Violence (Protection Orders) Act, Secs. 3-20",N/A,No applicable provisions could be located ,No,"Constitution of the Commonwealth of the Bahamas, Arts. 8 and 9(1)",Yes,"Constitution of the Commonwealth of the Bahamas, Arts. 8 and 9(1)",No,"Constitution of the Commonwealth of the Bahamas, Art. 5",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Constitution of the Commonwealth of the Bahamas,N/A,No applicable provisions could be located
2019,Bahrain,BHR,Middle East & North Africa,High income,..,No applicable provisions could be located,Yes,"Ministerial Order No. 1 of 2016, Art. 12; Family Law No. 19 of 2009, Art. 20",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law Decree No. 59 of 2018 amending some provisions of Labor Code No. 36 of 2012, Art. 2 (192 bis) ",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application procedures; Law No. 46 of 2006 Identity Card Act ,No,"Bahraini Citizenship Act, as amended by Decree Law No. 12 of 1989, Art. 4",No,"Bahraini Citizenship Act, as amended by Decree Law No. 12 of 1989, Art. 4",No,"Bahraini Citizenship Act, as amended by Decree Law No. 12 of 1989, Art. 6; Bahraini Citizenship Act, as amended by Decree Law No. 1 of 1981, Art. 7",No,"Family Law No. 19 of 2017, Arts. 39, 46 and 49",No,"Family Law, Art. 4",No,Constitution of the Kingdom of Bahrain,N/A,
2019,Bangladesh,BGD,South Asia,Low income,18,"The Child Marriage Restraint Act, 2017, Sec. 2(i),(iii)",Yes,"The Child Marriage Restraint Act, 2017, Sec. 19",No,No applicable provisions could be located,Yes,"Child Marriage Restraint Act, 2017, Secs. 5,7,8-9",Yes,"The Penal Code, 1860, Sec. 509; The Prevention of Oppression Against Women and Children Act 2000, Sec.10(ii)",Yes,"Domestic Violence (Prevention and Protection) Act, 2010, Secs. 3, 21 and 22; The Penal Code, 1860",Yes,"Domestic Violence (Prevention and Protection) Act, 2010, Ch. 5",Yes,"National Identity Registration Act 2010, Sec. 5; ID card application procedures",Yes,"Citizenship Act of 1951, Art. 5",Yes,"Citizenship Act of 1951, Art. 5",No,"Citizenship Act of 1951, Art. 10; Bangladesh Citizenship Temporary Provision Rules of 1978",No,"Muslim Personal Law (Shariat) Application Act 1937, Art. 2",Yes,No restrictions could be located,Yes,"Constitution of Bangladesh, Art. 152",Yes,"Constitution of Bangladesh, Arts. 7 and 26"
2019,Barbados,BRB,Latin America & Caribbean,High income,18,"Marriage Act, Sec. 2 and 26(1); Minors Act, 1974, Sec. 3",Yes,"Marriage Act, Sec. 4(1) and 26",Yes,"Marriage Act, Sec. 4(1)",Yes,"Marriage Act, Sec. 37",Yes,"Employment Sexual Harassment (Prevention) Act, 2017",No,No applicable provisions could be located,Yes,"Domestic Violence (Protection Orders) Act, Sec. 18-22",Yes,"Statistics Act Ch. 192, Sec. 24; ID card application procedures",No,"The Constitution of Barbados, Sec. 5; Barbados Citizenship Act Ch. 186, Sec. 4(1)",Yes,"The Constitution of Barbados, Sec. 5; Barbados Citizenship Act Ch. 186, Sec. 4(1)",No,"The Constitution of Barbados, Secs. 3A and 6",Yes,"Family Law Act, Ch. 214, Secs. 50 and 51",Yes,No restrictions could be located,No,The Constitution of Barbados,N/A,No applicable provisions could be located
2019,Belarus,BLR,Europe & Central Asia,Upper middle income,18,"Marriage and Family Code, Article 18",Yes,"Marriage and Family Code, Art. 18",Yes,"Marriage and Family Code, Art. 45",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on Basic Activities Aimed at Offence Prevention, Art. 31",N/A,No applicable provisions could be located ,Yes,"Law on Citizenship of the Republic of Belarus, Art. 13 ; Citizenship Instructions and Procedure",Yes,"Law on Citizenship of the Republic of Belarus, Art. 13 ; Citizenship Instructions and Procedure",Yes,"Law on Citizenship of the Republic of Belarus, Arts. 7 and 15; Citizenship Instructions and Procedure",Yes,"Code on Marriage and Family, Art 29.",Yes,No restrictions could be located,No,Constitution of the Republic of Belarus,N/A,No applicable provision could be located
2019,Belgium,BEL,High income: OECD,High income,18,"Code Civil, Art 144",Yes,"Code Civil, Arts. 145 and 148",Yes,"Code Civil, Arts. 144 and 184",Yes,"Code Pénal, Art. 265",Yes,"Loi du 4 août 1996, Arts. 32bis et 32ter; Code Penal Social, Arts. 101 et 119",Yes,Loi du 28 janvier 2003; Loi du 15 mai 2012,Yes,Loi du 15 mai 2012,Yes,"Loi Relative aux Registres de la Population, aux Cartes Documents de Séjour, Art. 6; ID card application form",Yes,"Code de la Nationalité Belge, Art. 8",Yes,"Code de la Nationalité Belge, Art. 8",Yes,"Code de la Nationalité Belge, Art. 12bis (1)(3)",Yes,"Code Civil, Art. 221",Yes,No restrictions could be located,No,The Belgian Constitution,N/A,
2019,Belize,BLZ,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 5(3)",Yes,"Marriage Act, Secs. 4(1), 5(1) and 6",Yes,"Marriage Act, Secs. 4(1), 34 and 58",Yes,"Criminal Code, Secs. 315, 317 and 318",Yes,Protection Against Sexual Harassment Act (Ch. 107),Yes,"Domestic Violence Act, 2007, Sec. 28",Yes,"Domestic Violence Act, 2007, Part III",N/A,No applicable provisions could be located ,Yes,"Constitution of Belize, Secs. 24 and 25; Belizean Nationality Act, Ch. 161, Sec. 5",Yes,"Constitution of Belize, Secs. 24 and 25; Belizean Nationality Act, Ch. 161, Sec. 5",Yes,"Constitution of Belize, Sec. 26(1)(a); Belizean Nationality Act, Ch. 161, Sec. 11",Yes,"Families and Children Act, Ch. 173, Secs. 5, 48 and 49",Yes,No restrictions could be located,No,No applicable provisions could be located,N/A,No applicable provisions could be located
2019,Benin,BEN,Sub-Saharan Africa,Low income,18,"Loi No. 2002-07 Portant Code des personnes et de la famille, Arts. 120 and 123",Yes,"Loi No. 2002-07 Portant Code des personnes et de la famille, Arts. 120 and 123",Yes,"Loi No. 2002-07 Portant Code des personnes et de la famille, Arts. 144-148",No,No applicable provisions could be located,Yes,"Loi No. 2011 - 26 du 09 Janvier 2012, Arts. 2-3; Loi No. 2006 - 19 du 17 juillet 2006",Yes,"Loi No. 2011 - 26 du 09 Janvier 2012, Arts. 30, 32 and 33",Yes,"Loi N°2011 - 26 du 09 Janvier 2012, Art. 16",No,ID card application procedures ,Yes,"Loi No. 65-17 du 23 Juin 1965 Portant Code de la Nationalité Dahoméenne, Arts. 8, 12 and 13",Yes,"Loi No. 65-17 du 23 Juin 1965 Portant Code de la Nationalité Dahoméenne, Arts. 8, 12 and 13",No,"Loi No. 65-17 du 23 Juin 1965 Portant Code de la Nationalité Dahoméenne, Arts. 18 and 36",Yes,"Loi N° 2002-07 portant Code des Personnes et de la Famille, Arts. 159-162",Yes,No restrictions could be located,Yes,"Constitution de la République du Bénin, Art. 98",Yes,"Constitution de la République du Bénin, Art. 98"
2019,Bhutan,BTN,South Asia,Lower middle income,18,"Marriage Act of Bhutan, 1980, Kha 1-11 and 8-20; Child Care and Protection Act of Bhutan 2011, Art. 16",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Marriage Act of Bhutan, 1980, Kha 8-20",Yes,"Penal Code, Sec. 205; Labor and Employment Act of Bhutan 2007, Secs. 16-19",Yes,"Domestic Violence Prevention Act of Bhutan 2013, Secs. 75-76",Yes,"Domestic Violence Prevention Act of Bhutan 2013, Ch. VI; Domestic Violence Prevention Rules and Regulations, 2015, Ch. 5",Yes,ID card application procedures; ID card application form,Yes,"Constitution of the Kingdom of Bhutan, Art. 6(1); Bhutan Citizenship Act of 1985, Arts. 2 and 4(a)",Yes,"Constitution of the Kingdom of Bhutan, Art. 6(1); Bhutan Citizenship Act of 1985, Arts. 2 and 4(a)",Yes,"Bhutan Citizenship Act of 1985, Arts. 4 and 6(a)",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Constitution of the Kingdom of Bhutan,N/A,
2019,Bolivia,BOL,Latin America & Caribbean,Lower middle income,18,"Código Civil, Art. 4; Código de las Familias y del Proceso Familiar, Art. 139",Yes,"Código de las Familias y del Proceso Familiar, Art. 139",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Ley No. 348, Arts. 84(Art. 312 quater)",Yes,"Ley No. 348, Art. 84(Art. 272 bis)",Yes,"Ley No. 348, Arts. 61-68; Ley contra la Violencia en la familia o doméstica, Cap. IV y VI",Yes,"Ley No.145 del Servicio General de Identificación Personal y del Servicio General de  Licencias  para Conducir, Arts. 4(a) y 18 (I); ID card application procedures",Yes,"Constitución Política del Estado Plurinacional de Bolivia, Art. 141",Yes,"Constitución Política del Estado Plurinacional de Bolivia, Art. 141",Yes,"Constitución Política del Estado Plurinacional de Bolivia, Arts. 142 (II) (1) y 143 (I); Ley No. 37 de Migración, Art. 42(I)(1)",Yes,"Ley No. 603 Código de las Familias y del Proceso Familiar, Arts.173(I) y 174©",Yes,No restrictions could be located,No,Constitución Política del Estado Plurinacional de Bolivia,N/A,Constitución Política del Estado Plurinacional de Bolivia
2019,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,18,"Family Law of the Federation of the Bosnia and Herzegovina, Art. 15 (1) ; Family Law the Republika Srpska, Art. 36 (1)",Yes,"Family Law of the Federation of the Bosnia and Herzegovina, Art. 15 (2); Family Law the Republika Srpska, Art. 36 (2)",Yes,"Family Law of the Federation of the Bosnia and Herzegovina, Art. 34 and 39(1) ; Family Law the Republika Srpska, Art. 45 an 51",Yes,"Criminal Code of the Federation of Bosnia and Herzegovina, Art. 212; Criminal Code of the Republika Srpska, Art. 182",Yes,"Law on Gender Equality, Art. 5(2) ; Law on Prohibition of Discrimination, Art. 4",Yes,"Criminal Code of the Republika Srpska, Art. 190 ; Criminal Code of the Federation of Bosnia and Herzegovina, Art. 218",Yes,"Law on Protection from Domestic Violence in the Federation of Bosnia and Herzegovina, Arts. 3, 4, 5 and Part IV ; Law on Protection from Domestic Violence of the Republika Srpska, Part IV",Yes,"Law on Identity Cards of Citizens of Bosnia and Herzegovina, Arts. 1 and 3 ",Yes,"Law on Citizenship of Bosnia and Herzegovina, Art. 6 ;  Law on Citizenship of the Republika Srpska, Art. 6",Yes,"Law on Citizenship of Bosnia and Herzegovina, Art. 6 ;  Law on Citizenship of the Republika Srpska, Art. 6",Yes,"Law on Citizenship of Bosnia and Herzegovina, Art. 10 ; Law on Citizenship of the Republika Srpska, Art. 12",Yes,"Family Law of the Federation of the Bosnia and Herzegovina, Art. 213(1) ; Family Law the Republika Srpska, Art. 231",Yes,No restrictions could be located,No,Constitution of Bosnia and Herzegovina,N/A,
2019,Botswana,BWA,Sub-Saharan Africa,Upper middle income,21,"Marriage Act, Secs. 14 and 15",Yes,"Marriage Act, Secs. 14 and 15",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Penal Code (Ch. 08:01), Sec. 146(3)",No,No applicable provisions could be located,Yes,"Domestic Violence Act, Secs. 3-8",Yes,National Registration Act; ID card application procedures,Yes,"Citizenship Act, Sec. 4",Yes,"Citizenship Act, Sec. 4",Yes,"Citizenship Act, Sec. 14",Yes,No applicable provisions could be located,Yes,No restrictions could be located,Yes,"Constitution of Botswana, Art. 15",No,"Constitution of Botswana, Art. 15(4)"
2019,Brazil,BRA,Latin America & Caribbean,Upper middle income,18,"Civil Code, Arts 5 and 1.517     ",Yes,"Civil Code, Art 1.517     ",No,No applicable provisions could be located,No,No applicable provisions could be located     ,Yes,"Criminal Code, Art. 216-A  ",Yes,"Law No. 11340, Arts. 17, 43 and 44; Criminal Code, Arts. 61 (f) and 129 (9)  ",Yes,"Law No. 11.340, Arts. 8(IV) and 35(III), State Law No 5.467/1986",Yes,"ID card application procedures; Decree No. 9278, Arts. 2 and 3",Yes,"Constitution of the Federative Republic of Brazil, Art. 12(I)",Yes,"Constitution of the Federative Republic of Brazil, Art. 12(I)",Yes,"Law No. 13445, Arts. 66 and 124",Yes,"Civil Code, Arts. 1.511, 1.565 and 1.566",Yes,No restrictions could be located,No,Constitution of the Federative Republic of Brazil,N/A,No applicable provisions could be located
2019,Brunei Darussalam,BRN,East Asia & Pacific,High income,18,"Registration of Marriages Act, Sec. 4(1)(c); Marriage Act, Secs. 2 and 7(1)",Yes,"Registration of Marriages Act, Sec. 4(1)(c); Marriage Act, Sec. 7(1)",Yes,"Registration of Marriages Act, Sec. 14(1)(b); Marriage Act, Sec. 3(2)",Yes,"Registration of Marriages Act, Sec. 14(1)(a); Marriage Act, Sec. 30",Yes,"Penal Code, Sec. 509",No,No applicable provisions could be located,Yes,"Married Women Act, Secs. 18B-18E; Islamic Family Law Act, Secs. 60B-60E",Yes,"National Registration Regulations, Arts. 4 and 5; ID card application form",No,"Brunei Nationality Law, Art. 4",No,"Brunei Nationality Law, Art. 4",No,"Brunei Nationality Law, Art. 5(6); Brunei Nationality (Registration) Regulations, Art. 6 and Schedule Form C",No,"Islamic Family Law, Sec. 2(1)",No,"Syariah Courts Evidence Order 2001, Art. 106",No,Constitution of Brunei Darussalam,N/A,
2019,Bulgaria,BGR,Europe & Central Asia,Upper middle income,18,"Family Code, Art. 6(1)",Yes,"Family Code, Art. 6(2)",Yes,"Family Code, Arts. 46(1)(1) and 47(1)(1)",Yes,"Criminal Code, Art. 176(2)",Yes,"Protection Against Discrimination Act, Art. 5",No,"Criminal Code, Art. 93, item 31.; Article 116 , par. 1, item 6.a.; Art. 131, par. 1, item 5a; Art.142, par. 2, item 5a; Art. 142 a, par.4; Art. 143, par. 3; Art.144, par.3; Art. 144a, par.3",Yes,"Protection Against Domestic Violence Act, Ch. 2",Yes,"Law for the Bulgarian Identification Documents, Art. 18; ID card application procedures",Yes,"Citizenship Law, Art. 8",Yes,"Citizenship Law, Art. 8",Yes,"Citizenship Act, Art. 13; ",Yes,"Family Code, art. 32",Yes,No restrictions could be located,No,Constitution of the Republic of Bulgaria,N/A,Constitution of Bulgaria
2019,Burkina Faso,BFA,Sub-Saharan Africa,Low income,20,"Code des Personnes et de la Famille, Arts. 241 et 554",Yes,"Code des Personnes et de la Famille, Arts. 238 et 241",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Loi n°061-2015/CNT portant prévention, répression et réparation des violences à légard des femmes et des filles et prise en charge des victimes, Art. 11; Code du Travail, Art. 37",Yes,"Loi N°025-2018/AN Portant Code Pénal, Art. 531-9",Yes,"Loi n°061-2015/CNT portant prévention, répression et réparation des violences à légard des femmes et des filles et prise en charge des victimes, Arts. 3 et 31-34",Yes,"Police Nationale du Burkina Faso; Loi No. 5-21/AN Portant Institution d’une Carte Nationale d’identite Burkinabe, Art. 2",Yes,"Code des Personnes et de la Famille, Arts. 140 et 144 ",Yes,"Code des Personnes et de la Famille, Arts. 140 et 144 ",Yes,"Code des Personnes et de la Famille, Art. 151",Yes," Code des Personnes et de la Famille, Art. 299",Yes,No restrictions could be located,Yes,"Constitution du Burkina Faso, Art. 101",Yes,"Constitution du Burkina Faso, Art. 101"
2019,Burundi,BDI,Sub-Saharan Africa,Low income,21,"Code des Loi N° 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Arts. 88, 89 and 335",Yes,"Code des Loi N° 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Arts. 88-92",Yes,"Code des Loi N° 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Art. 148",Yes,"Code des Loi N° 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Art. 120; Loi N° 1/13 du 22 septembre 2016 portant prévention, protection des victimes et répression des Violences Basées sur le Genre, Art. 44",Yes,"Loi No. 1/05 du 22 avril 2009 portant révision du Code Pénal, Art. 563; Loi N° 1/13 du 22 septembre 2016 portant prévention, protection des victimes et répression des Violences Basées sur le Genre, Art. 2(f, n)",Yes,"Loi No. 1/05 du 22 avril 2009 portant révision du Code Pénal, Arts. 535 et 537; Loi N° 1/13 du 22 septembre 2016 portant prévention, protection des victimes et répression des Violences Basées sur le Genre, Arts. 27, 49, 50 et 59",No,No applicable provisions could be located,Yes,"Ordonnance Ministérielle No. 530/060 - Carte Nationale d’Identité, Art. 4",Yes,"Constitution de la République du Burundi, Art. 12; Loi 1/013 du 18 juillet 2000 portant reforme du code de la nationalité, Art. 2",Yes,"Constitution de la République du Burundi, Art. 12; Loi 1/013 du 18 juillet 2000 portant reforme du code de la nationalité, Art. 2",No,"Loi 1/013 du 18 juillet 2000 portant reforme du code de la nationalité, Art. 4",Yes,"Code des Personnes et de la Famille, Arts. 123 et 125",Yes,No restrictions could be located,No,Constitution de la République du Burundi,N/A,
2019,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,18,"Civil Code, Arts. 133 and 1566",Yes,"Civil Code, Arts. 1567(a), 1570(1)(d) and 1575",Yes,"Civil Code, Arts. 1593(a), 1600 and 1604(1)(a)",No,No applicable provisions could be located,Yes,"Penal Code, Art. 152; Labor Code, Art. 410",Yes,"Act No. 84/VII/2011 on Gender Based Violence, Art. 23; Penal Code, Art. 134",Yes,"Act No. 84/VII/2011 on Gender Based Violence, Arts. 30 and 35-38",Yes,ID card application procedures ,Yes,"Law No. 80/III/90, Art. 7",Yes,"Law No. 80/III/90, Art. 7",Yes,"Law No. 80/III/90, Art. 9",Yes,"Civil Code, Arts. 1629 and 1636",Yes,No restrictions could be located,No,Constitution of the Republic of Cabo Verde,N/A,No applicable provisions could be located
