Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Are there any exceptions to the legal age of marriage?,Is marriage under the legal age void or explicitly prohibited?,Are there penalties for authorizing or entering into child or early marriage?,Is there legislation that specifically addresses sexual harassment?,Does the legislation establish clear criminal penalties for domestic violence?,Is there a specialized court or procedure for cases of domestic violence?,Can a woman obtain a national identity card in the same way as a married man? ,Can a married woman legally confer citizenship to her children in the same way as a married man?,Can an unmarried woman legally confer citizenship to her children in the same way as a married man?,Can a married woman legally confer her citizenship to a non-national spouse in the same way as a married man?,Do married couples jointly share legal responsibility for financially maintaining the family’s expenses?,Does a woman’s testimony carry the same evidentiary weight in court as a man's in all types of cases?,Is customary law a valid source of law under the constitution?,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?"
2017,Denmark,DNK,High income: OECD,High income,18,No,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Djibouti,DJI,Middle East & North Africa,Lower middle income,..,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2017,Dominica,DMA,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,No,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Ecuador,ECU,Latin America & Caribbean,Upper middle income,18,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,18,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,N/A
2017,El Salvador,SLV,Latin America & Caribbean,Lower middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Equatorial Guinea,GNQ,Sub-Saharan Africa,High income,23,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Eritrea,ERI,Sub-Saharan Africa,Low income,18,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,..,..
2017,Estonia,EST,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,21,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
2017,Ethiopia,ETH,Sub-Saharan Africa,Low income,18,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Fiji,FJI,East Asia & Pacific,Upper middle income,18,No,Yes,Yes,Yes,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Finland,FIN,High income: OECD,High income,18,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,France,FRA,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Gabon,GAB,Sub-Saharan Africa,Upper middle income,21,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,"Gambia, The",GMB,Sub-Saharan Africa,Low income,18,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2017,Georgia,GEO,Europe & Central Asia,Lower middle income,18,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Germany,DEU,High income: OECD,High income,18,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Ghana,GHA,Sub-Saharan Africa,Lower middle income,18,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
2017,Greece,GRC,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Grenada,GRD,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,No,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Guatemala,GTM,Latin America & Caribbean,Lower middle income,18,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,N/A
2017,Guinea,GIN,Sub-Saharan Africa,Low income,21,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,N/A
2017,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Guyana,GUY,Latin America & Caribbean,Lower middle income,18,Yes,Yes,Yes,Yes,No,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Haiti,HTI,Latin America & Caribbean,Low income,18,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,N/A
2017,Honduras,HND,Latin America & Caribbean,Lower middle income,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Hungary,HUN,High income: OECD,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Iceland,ISL,High income: OECD,High income,18,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,India,IND,South Asia,Lower middle income,18,No,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Indonesia,IDN,East Asia & Pacific,Lower middle income,21,Yes,Yes,Yes,No,Yes,Yes,Yes ,Yes,Yes,Yes,No,Yes,Yes,Yes
2017,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,..,Yes,No,No,Yes,No,No,Yes ,No,No,No,No,No,No,N/A
2017,Iraq,IRQ,Middle East & North Africa,Upper middle income,18,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,N/A
2017,Ireland,IRL,High income: OECD,High income,18,Yes,Yes,Yes,Yes,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Israel,ISR,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Italy,ITA,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Jamaica,JAM,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,No,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Japan,JPN,High income: OECD,High income,20,Yes,Yes,No,No,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Jordan,JOR,Middle East & North Africa,Upper middle income,..,Yes,Yes,No,Yes,No,Yes,Yes ,No,No,No,No,No,No,N/A
2017,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,18,Yes,Yes,No,No,No,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Kenya,KEN,Sub-Saharan Africa,Low income,18,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Kiribati,KIR,East Asia & Pacific,Lower middle income,21,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,No,Yes,Yes,No,N/A
2017,"Korea, Rep.",KOR,High income: OECD,High income,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Kosovo,KSV,Europe & Central Asia,Lower middle income,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Kuwait,KWT,Middle East & North Africa,High income,..,Yes,No,No,Yes,No,No,Yes ,No,No,No,No,No,No,N/A
2017,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2017,Lao PDR,LAO,East Asia & Pacific,Lower middle income,18,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Latvia,LVA,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Lebanon,LBN,Middle East & North Africa,Upper middle income,..,..,..,..,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,N/A
2017,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,18,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
2017,Liberia,LBR,Sub-Saharan Africa,Low income,18,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Libya,LBY,Middle East & North Africa,Upper middle income,..,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,N/A
2017,Lithuania,LTU,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Luxembourg,LUX,High income: OECD,High income,18,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Madagascar,MDG,Sub-Saharan Africa,Low income,18,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,N/A
2017,Malawi,MWI,Sub-Saharan Africa,Low income,18,No,No,No,Yes,Yes,Yes,N/A,Yes,Yes,No,Yes,Yes,Yes,Yes
2017,Malaysia,MYS,East Asia & Pacific,Upper middle income,..,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
2017,Maldives,MDV,South Asia,Upper middle income,..,Yes,Yes,Yes,Yes,Yes,Yes,Yes ,Yes,Yes,Yes,No,Yes,No,N/A
2017,Mali,MLI,Sub-Saharan Africa,Low income,16,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,N/A
2017,Malta,MLT,Middle East & North Africa,High income,18,Yes,Yes,No,Yes,Yes,No,Yes ,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,18,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,..,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,N/A
2017,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,18,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
2017,Mexico,MEX,Latin America & Caribbean,Upper middle income,18,No,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,18,Yes,No,No,No,No,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No
2017,Moldova,MDA,Europe & Central Asia,Lower middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Mongolia,MNG,East Asia & Pacific,Lower middle income,18,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Montenegro,MNE,Europe & Central Asia,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Morocco,MAR,Middle East & North Africa,Lower middle income,18,Yes,No,No,Yes,Yes,No,Yes ,Yes,Yes,No,Yes,Yes,No,N/A
2017,Mozambique,MOZ,Sub-Saharan Africa,Low income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Myanmar,MMR,East Asia & Pacific,Low income,20,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Namibia,NAM,Sub-Saharan Africa,Upper middle income,21,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Nepal,NPL,South Asia,Low income,20,No,No,Yes,Yes,Yes,Yes,N/A,No,No,No,No,Yes,No,N/A
2017,Netherlands,NLD,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,New Zealand,NZL,High income: OECD,High income,18,Yes,No,Yes,Yes,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Niger,NER,Sub-Saharan Africa,Low income,21,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,21,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2017,North Macedonia,MKD,Europe & Central Asia,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Norway,NOR,High income: OECD,High income,18,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Oman,OMN,Middle East & North Africa,High income,..,Yes,No,No,Yes,No,No,No ,No,No,No,No,No,No,N/A
2017,Pakistan,PAK,South Asia,Lower middle income,18,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes
2017,Palau,PLW,East Asia & Pacific,Upper middle income,18,Yes,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No
2017,Panama,PAN,Latin America & Caribbean,Upper middle income,18,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,21,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Paraguay,PRY,Latin America & Caribbean,Lower middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Peru,PER,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Philippines,PHL,East Asia & Pacific,Lower middle income,25,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,Yes,Yes,No,N/A
2017,Poland,POL,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Portugal,PRT,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Puerto Rico (U.S.),PRI,Latin America & Caribbean,High income,21,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Qatar,QAT,Middle East & North Africa,High income,..,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,N/A
2017,Romania,ROM,Europe & Central Asia,Upper middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Russian Federation,RUS,Europe & Central Asia,High income,18,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Rwanda,RWA,Sub-Saharan Africa,Low income,21,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Samoa,WSM,East Asia & Pacific,Lower middle income,19,Yes,No,Yes,No,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,San Marino,SMR,Europe & Central Asia,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Saudi Arabia,SAU,Middle East & North Africa,High income,..,..,No,No,No,Yes,No,No ,No,No,No,No,No,No,N/A
2017,Senegal,SEN,Sub-Saharan Africa,Lower middle income,18,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Serbia,SRB,Europe & Central Asia,Upper middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Seychelles,SYC,Sub-Saharan Africa,Upper middle income,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Sierra Leone,SLE,Sub-Saharan Africa,Low income,18,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
2017,Singapore,SGP,East Asia & Pacific,High income,21,Yes,Yes,Yes,Yes,No,No,Yes ,Yes,Yes,No,Yes,Yes,No,N/A
2017,Slovak Republic,SVK,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Slovenia,SVN,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,18,Yes,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,Yes,Yes,Yes,No
2017,Somalia,SOM,Sub-Saharan Africa,Low income,,,,,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
2017,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,18,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,South Sudan,SSD,Sub-Saharan Africa,Lower middle income,18,No,No,Yes,Yes,No,No,Yes ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Spain,ESP,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Sri Lanka,LKA,South Asia,Lower middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2017,St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,St. Lucia,LCA,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes ,Yes,Yes,No,Yes,Yes,No,N/A
2017,St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,N/A
2017,Sudan,SDN,Sub-Saharan Africa,Lower middle income,..,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,N/A
2017,Suriname,SUR,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Sweden,SWE,High income: OECD,High income,18,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
