Economy,Economy Code,ISO Code,Region,Income Group,Report Year,PARENTHOOD SCORE,Is paid leave of at least 14 weeks available to mothers?,Score,Legal Basis,Length of paid maternity leave,Does the government administer 100% of maternity leave benefits?,Score,Legal Basis,Is there paid leave available to fathers?,Score,Legal Basis,Length of paid paternity leave,Is there paid parental leave?,Score,Legal Basis,Shared days,Days for the mother,Days for the father,Is dismissal of pregnant workers prohibited?,Score,Legal Basis
Afghanistan,AFG,AFG,South Asia,Low income,1981,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1982,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1983,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1984,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1985,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1986,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1987,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1988,0,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1989,20,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1990,20,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1991,20,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1992,20,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1993,20,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1994,20,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1995,20,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1996,20,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1997,20,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1998,20,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,1999,20,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Labour Law, Art. 134"
Afghanistan,AFG,AFG,South Asia,Low income,2000,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2001,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2002,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2003,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2004,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2005,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2006,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2007,0,No,0,No applicable provisions could be located,90,No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2008,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2009,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2010,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2011,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2012,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2013,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2014,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2015,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2016,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2017,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2018,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2019,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2020,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2021,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2022,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2023,20,No,0,"Labor Law, Art. 54",90,No,0,"Labor Law, Art. 54",Yes,1,"Labor Law, Art. 51",14,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1971,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1972,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1973,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1974,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1975,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1976,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1977,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1978,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1979,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1980,20,No,0,"Social Insurance Law 1966, Art. 8",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1981,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1982,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1983,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1984,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1985,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1986,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1987,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1988,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1989,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1990,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1991,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1992,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1993,20,No,0,"Labor Code 1980, Art. 41",84,Yes,1,"Social Insurance Law 1966, Art. 8",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1994,40,Yes,1,"Labor Code 1980, Art. 41",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1995,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1996,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1997,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1998,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1999,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2000,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2001,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2002,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2003,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2004,40,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2005,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a (as amended by Law No. 9125 of 2003)"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2006,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2007,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2008,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2009,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2010,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2011,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2012,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2013,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2014,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2015,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2016,60,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",No,0,No applicable provisions could be located,0,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2017,80,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",Yes,1,"Law No. 7961 of 12 July 1995, Art. 96",3,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2018,80,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",Yes,1,"Law No. 7961 of 12 July 1995, Art. 96",3,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2019,80,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",Yes,1,"Law No. 7961 of 12 July 1995, Art. 96",3,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2020,80,Yes,1,"Law on Social Insurance, Art. 27",365,Yes,1,"Law on Social Insurance, Arts. 2, 6 and 27",Yes,1,"Law No. 7961 of 12 July 1995, Art. 96",3,No,0,No applicable provisions could be located,0,0,0,Yes,1,"Law No. 7961 of 12 July 1995, Art. 105/a"
