Economy,Economy Code,ISO Code,Region,Income Group,Report Year,ASSETS SCORE,Do men and women have equal ownership rights to immovable property?,Score,Legal Basis,Do sons and daughters have equal rights to inherit assets from their parents?,Score,Legal Basis,Do male and female surviving spouses have equal rights to inherit assets?,Score,Legal Basis,Does the law grant spouses equal administrative authority over assets during marriage?,Score,Legal Basis,Does the law provide for the valuation of nonmonetary contributions?,Score,Legal Basis
Afghanistan,AFG,AFG,South Asia,Low income,1981,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1982,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1983,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1984,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1985,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1986,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1987,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1988,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1989,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1990,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1991,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1992,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1993,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1994,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1995,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1996,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1997,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1998,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1999,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2000,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2001,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2002,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2003,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2004,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2005,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2006,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2007,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2008,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2009,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2010,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2011,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2012,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2013,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2014,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2015,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2016,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2017,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2018,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2019,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2020,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2021,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2022,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,2023,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1971,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1972,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1973,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1974,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1975,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1976,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1977,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1978,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1979,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1980,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1981,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1982,100,Yes,1,"Family Code of 1965, Arts. 2 and 49",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Decree “On inheritance” of 1954, Art. 21",Yes,1,"Family Code of 1965, Art. 49",Yes,1,Family Code of 1965
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1983,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1984,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1985,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1986,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1987,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1988,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1989,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1990,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1991,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1992,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1993,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1994,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1995,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Arts. 106-107",Yes,1,"Civil Code of 1981, Art. 87",Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1996,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code, Arts. 360 and 361",Yes,1,"Civil Code, Arts. 360 and 361",Yes,1,Civil Code,Yes,1,Family Code of 1982
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1997,100,Yes,1,"Civil Code of 1981, Art. 87",Yes,1,"Civil Code, Arts. 360 and 361",Yes,1,"Civil Code, Arts. 360 and 361",Yes,1,Civil Code,Yes,1,Family Code of 1982
